I, [2018-11-05T16:03:12.442705 #99965]  INFO -- Kitchen: -----> Starting Kitchen (v1.22.0)
E, [2018-11-05T16:03:12.443174 #99965] ERROR -- Kitchen: ------Exception-------
E, [2018-11-05T16:03:12.443233 #99965] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-11-05T16:03:12.443271 #99965] ERROR -- Kitchen: Message: Kitchen YAML file /Users/tech-a04/Desktop/Devops/uber_project/Python-Sample-Application/cookbooks/python_cookbook/.kitchen.yml does not exist.
E, [2018-11-05T16:03:12.443350 #99965] ERROR -- Kitchen: ----------------------
E, [2018-11-05T16:03:12.443380 #99965] ERROR -- Kitchen: ------Backtrace-------
E, [2018-11-05T16:03:12.443409 #99965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2018-11-05T16:03:12.443437 #99965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/config.rb:152:in `data'
E, [2018-11-05T16:03:12.443465 #99965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/config.rb:131:in `suites'
E, [2018-11-05T16:03:12.443492 #99965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2018-11-05T16:03:12.443519 #99965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2018-11-05T16:03:12.443547 #99965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/config.rb:117:in `instances'
E, [2018-11-05T16:03:12.443593 #99965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-11-05T16:03:12.443635 #99965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2018-11-05T16:03:12.443671 #99965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/command/test.rb:40:in `block in call'
E, [2018-11-05T16:03:12.443710 #99965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2018-11-05T16:03:12.443749 #99965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/command/test.rb:38:in `call'
E, [2018-11-05T16:03:12.443777 #99965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/cli.rb:52:in `perform'
E, [2018-11-05T16:03:12.443803 #99965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/cli.rb:245:in `test'
E, [2018-11-05T16:03:12.443829 #99965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor/command.rb:27:in `run'
E, [2018-11-05T16:03:12.443855 #99965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-11-05T16:03:12.443880 #99965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor.rb:387:in `dispatch'
E, [2018-11-05T16:03:12.443913 #99965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor/base.rb:466:in `start'
E, [2018-11-05T16:03:12.443940 #99965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/bin/kitchen:13:in `block in <top (required)>'
E, [2018-11-05T16:03:12.443965 #99965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2018-11-05T16:03:12.443991 #99965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/bin/kitchen:13:in `<top (required)>'
E, [2018-11-05T16:03:12.444017 #99965] ERROR -- Kitchen: /usr/local/bin/kitchen:272:in `load'
E, [2018-11-05T16:03:12.444042 #99965] ERROR -- Kitchen: /usr/local/bin/kitchen:272:in `<main>'
E, [2018-11-05T16:03:12.444067 #99965] ERROR -- Kitchen: ----End Backtrace-----
